*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :1901853
     CYCLE NUMBER          :191
     DATE CREATION         :20191203200647
     DATE UPDATE           :20191203200647
     PROJECT NAME          :Argo UK
     PI NAME               :Jon Turton
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :6991
     FIRMWARE VERSION      :110413
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25538.5440 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-03
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :-55.082 
     LONGITUDE             :72.686  
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    3.9    4.9  1    1.803    1.803  1   33.838   33.838  1
    9.5   10.5  1    1.804    1.804  1   33.836   33.836  1
   14.8   15.8  1    1.804    1.804  1   33.837   33.837  1
   20.0   21.0  1    1.804    1.804  1   33.837   33.837  1
   24.8   25.8  1    1.805    1.805  1   33.836   33.836  1
   28.4   29.4  1    1.805    1.805  1   33.836   33.836  1
   35.2   36.2  1    1.793    1.793  1   33.836   33.836  1
   39.9   40.9  1    1.787    1.787  1   33.836   33.836  1
   50.0   51.0  1    1.778    1.778  1   33.835   33.835  1
   60.5   61.5  1    1.751    1.751  1   33.835   33.835  1
   70.1   71.1  1    1.745    1.745  1   33.836   33.836  1
   80.0   81.0  1    1.737    1.737  1   33.836   33.836  1
   90.3   91.3  1    1.694    1.694  1   33.836   33.836  1
  100.5  101.5  1    1.606    1.606  1   33.836   33.836  1
  109.9  110.9  1    1.333    1.333  1   33.847   33.847  1
  120.5  121.5  1    1.061    1.061  1   33.856   33.856  1
  130.1  131.1  1    0.907    0.907  1   33.866   33.866  1
  140.2  141.2  1    0.860    0.860  1   33.869   33.869  1
  149.5  150.5  1    0.803    0.803  1   33.872   33.872  1
  160.0  161.0  1    0.765    0.765  1   33.875   33.875  1
  170.0  171.0  1    0.727    0.727  1   33.878   33.878  1
  179.7  180.7  1    0.714    0.714  1   33.881   33.881  1
  189.5  190.5  1    0.668    0.668  1   33.885   33.885  1
  198.2  199.2  1    0.616    0.616  1   33.891   33.891  1
  220.5  221.5  1    0.536    0.536  1   33.914   33.914  1
  240.0  241.0  1    0.643    0.643  1   33.953   33.953  1
  260.2  261.2  1    1.174    1.174  1   34.033   34.033  1
  280.1  281.1  1    1.702    1.702  1   34.121   34.121  1
  300.4  301.4  1    1.977    1.977  1   34.173   34.173  1
  330.0  331.0  1    2.188    2.188  1   34.238   34.238  1
  360.2  361.2  1    2.268    2.268  1   34.284   34.284  1
  400.0  401.0  1    2.321    2.321  1   34.323   34.323  1
  448.4  449.4  1    2.339    2.339  1   34.365   34.365  1
  500.5  501.5  1    2.405    2.405  1   34.430   34.430  1
  550.2  551.2  1    2.443    2.443  1   34.482   34.482  1
  600.2  601.2  1    2.442    2.442  1   34.522   34.522  1
  649.9  650.9  1    2.430    2.430  1   34.553   34.553  1
  699.6  700.6  1    2.419    2.419  1   34.573   34.573  1
  750.4  751.4  1    2.407    2.407  1   34.597   34.597  1
  800.4  801.4  1    2.392    2.392  1   34.620   34.620  1
  849.8  850.8  1    2.365    2.365  1   34.641   34.641  1
  899.9  900.9  1    2.352    2.352  1   34.659   34.659  1
  950.3  951.3  1    2.326    2.326  1   34.678   34.678  1
  999.8 1000.8  1    2.304    2.304  1   34.691   34.691  1
 1049.8 1050.8  1    2.281    2.281  1   34.703   34.703  1
 1100.1 1101.1  1    2.261    2.261  1   34.712   34.712  1
 1150.3 1151.3  1    2.225    2.225  1   34.724   34.724  1
 1200.2 1201.2  1    2.194    2.194  1   34.732   34.732  1
 1249.9 1250.9  1    2.166    2.166  1   34.738   34.738  1
 1300.0 1301.0  1    2.147    2.147  1   34.742   34.742  1
 1350.0 1351.0  1    2.114    2.114  1   34.746   34.746  1
 1400.3 1401.3  1    2.085    2.085  1   34.750   34.750  1
 1499.9 1500.9  1    1.999    1.999  1   34.757   34.757  1
 1599.9 1600.9  1    1.911    1.911  1   34.759   34.759  1
 1700.3 1701.3  1    1.834    1.834  1   34.760   34.760  1
 1799.8 1800.8  1    1.753    1.753  1   34.759   34.759  1
 1900.3 1901.3  1    1.648    1.648  1   34.758   34.758  1
