*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :1901857
     CYCLE NUMBER          :193
     DATE CREATION         :20191216150735
     DATE UPDATE           :20191216150735
     PROJECT NAME          :Argo UK
     PI NAME               :Jon Turton
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :6995
     FIRMWARE VERSION      :110413
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :R(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25546.6552 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-11
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :-27.694 
     LONGITUDE             :7.227   
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    3.6    3.6  1   20.487   20.487  1   35.747   35.747  1
    9.6    9.6  1   20.376   20.376  1   35.746   35.746  1
   13.3   13.3  1   20.288   20.288  1   35.732   35.732  1
   19.7   19.7  1   20.105   20.105  1   35.727   35.727  1
   25.1   25.1  1   20.028   20.028  1   35.718   35.718  1
   30.3   30.3  1   19.904   19.904  1   35.712   35.712  1
   35.0   35.0  1   19.812   19.812  1   35.700   35.700  1
   40.6   40.6  1   19.722   19.722  1   35.689   35.689  1
   50.0   50.0  1   19.587   19.587  1   35.630   35.630  1
   60.4   60.4  1   18.832   18.832  1   35.594   35.594  1
   70.5   70.5  1   18.007   18.007  1   35.583   35.583  1
   80.5   80.5  1   17.533   17.533  1   35.577   35.577  1
   89.8   89.8  1   17.422   17.422  1   35.572   35.572  1
  100.2  100.2  1   17.269   17.269  1   35.560   35.560  1
  109.9  109.9  1   17.143   17.143  1   35.517   35.517  4
  120.6  120.6  1   16.811   16.811  1   43.914   43.914  4
  130.3  130.3  1   16.516   16.516  1   35.478   35.478  4
  140.5  140.5  1   16.439   16.439  1   35.510   35.510  1
  149.8  149.8  1   16.151   16.151  1   35.483   35.483  1
  160.4  160.4  1   15.924   15.924  1   35.450   35.450  1
  260.2  260.2  1   13.672   13.672  1   35.229   35.229  1
  280.4  280.4  1   13.266   13.266  1   35.180   35.180  1
  300.1  300.1  1   12.882   12.882  1   35.134   35.134  1
  329.8  329.8  1   12.466   12.466  1   35.095   35.095  1
  360.2  360.2  1   12.178   12.178  1   35.063   35.063  1
  400.3  400.3  1   11.336   11.336  1   34.953   34.953  1
  449.8  449.8  1   10.434   10.434  1   34.837   34.837  1
  500.5  500.5  1    9.091    9.091  1   34.689   34.689  1
  550.4  550.4  1    8.238    8.238  1   34.600   34.600  1
  600.2  600.2  1    7.244    7.244  1   34.503   34.503  1
  650.3  650.3  1    6.441    6.441  1   34.434   34.434  1
  700.2  700.2  1    5.658    5.658  1   34.369   34.369  1
  750.1  750.1  1    5.209    5.209  1   34.355   34.355  1
  799.7  799.7  1    4.764    4.764  1   34.346   34.346  1
  850.4  850.4  1    4.498    4.498  1   34.354   34.354  1
  900.3  900.3  1    4.281    4.281  1   34.372   34.372  1
  949.8  949.8  1    4.094    4.094  1   34.399   34.399  1
 1000.1 1000.1  1    3.769    3.769  1   34.401   34.401  1
 1050.1 1050.1  1    3.601    3.601  1   34.424   34.424  1
 1099.2 1099.2  1    3.484    3.484  1   34.448   34.448  1
 1150.3 1150.3  1    3.315    3.315  1   34.474   34.474  1
 1199.7 1199.7  1    3.306    3.306  1   34.528   34.528  1
 1250.3 1250.3  1    3.278    3.278  1   34.572   34.572  1
 1300.0 1300.0  1    3.239    3.239  1   34.596   34.596  1
 1350.1 1350.1  1    3.221    3.221  1   34.628   34.628  1
 1399.6 1399.6  1    3.169    3.169  1   34.652   34.652  1
 1500.0 1500.0  1    3.233    3.233  1   34.724   34.724  1
 1599.9 1599.9  1    3.239    3.239  1   34.769   34.769  1
 1700.5 1700.5  1    3.286    3.286  1   34.809   34.809  1
 1799.9 1799.9  1    3.117    3.117  1   34.810   34.810  1
 1899.4 1899.4  1    3.076    3.076  4   34.827   34.827  4
 3022.0 3022.0  4   20.560   20.560  4   16.207   16.207  4
