*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :2901307
     CYCLE NUMBER          :319
     DATE CREATION         :20191202180512
     DATE UPDATE           :20191205183247
     PROJECT NAME          :Argo INDIA
     PI NAME               :M Ravichandran
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :5391
     FIRMWARE VERSION      :020811
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25537.4530 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-02
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :8.083   
     LONGITUDE             :67.205  
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    4.1    4.3  1   29.477   29.477  1   36.248   36.192  1
    9.9   10.1  1   29.437   29.437  1   36.246   36.190  1
   15.3   15.5  1   29.453   29.453  1   36.283   36.227  1
   19.8   20.0  1   29.406   29.406  1   36.283   36.227  1
   24.9   25.1  1   29.401   29.401  1   36.307   36.251  1
   30.1   30.3  1   29.427   29.427  1   36.335   36.279  1
   35.1   35.3  1   29.421   29.421  1   36.360   36.304  1
   40.3   40.5  1   29.403   29.403  1   36.365   36.309  1
   45.6   45.8  1   28.755   28.755  1   36.334   36.278  1
   50.2   50.4  1   28.398   28.398  1   36.339   36.283  1
   59.1   59.3  1   28.070   28.070  1   36.354   36.298  1
   70.5   70.7  1   28.076   28.076  1   36.662   36.606  1
   80.1   80.3  1   27.683   27.683  1   36.642   36.586  1
   90.4   90.6  1   26.135   26.135  1   36.383   36.327  1
  100.3  100.5  1   25.231   25.231  1   36.281   36.225  1
  110.5  110.7  1   24.324   24.324  1   36.174   36.118  1
  120.6  120.8  1   21.542   21.542  1   35.866   35.811  1
  129.7  129.9  1   19.943   19.943  1   35.715   35.660  1
  140.0  140.2  1   18.070   18.070  1   35.521   35.467  1
  149.9  150.1  1   16.951   16.951  1   35.464   35.410  1
  160.1  160.3  1   16.295   16.295  1   35.415   35.361  1
  170.5  170.7  1   15.704   15.704  1   35.361   35.307  1
  179.8  180.0  1   15.145   15.145  1   35.321   35.267  1
  190.3  190.5  1   14.726   14.726  1   35.291   35.237  1
  200.2  200.4  1   14.641   14.641  1   35.283   35.229  1
  218.8  219.0  1   14.070   14.070  1   35.268   35.214  1
  240.5  240.7  1   13.518   13.518  1   35.271   35.217  1
  260.4  260.6  1   13.095   13.095  1   35.271   35.217  1
  280.1  280.3  1   12.738   12.738  1   35.260   35.206  1
  299.9  300.1  1   12.547   12.547  1   35.264   35.210  1
  329.7  329.9  1   12.162   12.162  1   35.270   35.216  1
  360.0  360.2  1   11.851   11.851  1   35.272   35.218  1
  400.3  400.5  1   11.531   11.531  1   35.282   35.228  1
  450.3  450.5  1   11.243   11.243  1   35.300   35.246  1
  500.1  500.3  1   10.950   10.950  1   35.302   35.248  1
  549.8  550.0  1   10.621   10.621  1   35.315   35.261  1
  599.4  599.6  1   10.234   10.234  1   35.291   35.237  1
  649.6  649.8  1    9.709    9.709  1   35.235   35.181  1
  700.2  700.4  1    9.311    9.311  1   35.206   35.152  1
  750.1  750.3  1    8.926    8.926  1   35.169   35.115  1
  799.8  800.0  1    8.720    8.720  1   35.172   35.118  1
  849.5  849.7  1    8.385    8.385  1   35.162   35.108  1
  899.5  899.7  1    8.063    8.063  1   35.139   35.085  1
  949.9  950.1  1    7.626    7.626  1   35.101   35.048  1
  999.7  999.9  1    7.586    7.586  1   35.133   35.080  1
 1049.5 1049.7  1    7.250    7.250  1   35.102   35.049  1
 1100.0 1100.2  1    6.871    6.871  1   35.069   35.016  1
 1149.7 1149.9  1    6.529    6.529  1   35.041   34.988  1
 1199.9 1200.1  1    6.342    6.342  1   35.036   34.983  1
 1249.6 1249.8  1    6.208    6.208  1   35.048   34.995  1
 1300.1 1300.3  1    6.034    6.034  1   35.050   34.997  1
 1350.1 1350.3  1    5.812    5.812  1   35.043   34.990  1
 1400.1 1400.3  1    5.542    5.542  1   35.030   34.977  1
 1500.0 1500.2  1    4.952    4.952  1   34.992   34.939  1
 1600.1 1600.3  1    4.404    4.404  1   34.951   34.898  1
 1700.5 1700.7  1    3.970    3.970  1   34.920   34.867  1
 1799.8 1800.0  1    3.564    3.564  1   34.892   34.839  1
 1899.4 1899.6  1    3.281    3.281  1   34.874   34.821  1
