*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :2902169
     CYCLE NUMBER          :179
     DATE CREATION         :20191214094052
     DATE UPDATE           :20191217063016
     PROJECT NAME          :Argo INDIA
     PI NAME               :M Ravichandran
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :7099
     FIRMWARE VERSION      :n/a
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25549.2495 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-14
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :-38.510
     LONGITUDE             :13.788
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    4.2    3.8  1   20.460   20.460  1   31.866   31.866  4
    9.3    8.9  1   20.451   20.451  1   31.853   31.853  4
   14.8   14.4  1   20.455   20.455  1   31.822   31.822  4
   20.0   19.6  1   20.446   20.446  4   31.787   31.787  4
   24.9   24.5  1   20.428   20.428  4   31.735   31.735  4
   30.3   29.9  1   20.388   20.388  4   31.679   31.679  4
   34.6   34.2  1   20.268   20.268  3   31.701   31.701  4
   37.8   37.4  1   20.143   20.143  1   31.770   31.770  4
   43.2   42.8  1   20.039   20.039  1   31.816   31.816  4
   50.2   49.8  1   19.987   19.987  1   31.781   31.781  4
   60.3   59.9  1   19.862   19.862  1   31.735   31.735  4
   70.6   70.2  1   19.696   19.696  4   31.677   31.677  4
   80.0   79.6  1   19.521   19.521  4   31.545   31.545  4
   90.5   90.1  1   19.063   19.063  3   31.510   31.510  4
  100.1   99.7  1   18.608   18.608  1   31.698   31.698  4
  109.3  108.9  1   18.471   18.471  1   31.697   31.697  4
  119.4  119.0  1   18.340   18.340  1   31.674   31.674  4
  130.4  130.0  1   18.114   18.114  1   31.702   31.702  4
  140.5  140.1  1   17.915   17.915  1   31.681   31.681  4
  150.3  149.9  1   17.778   17.778  4   31.646   31.646  4
  159.9  159.5  1   17.667   17.667  4   31.552   31.552  4
  170.3  169.9  1   17.449   17.449  3   31.539   31.539  4
  179.7  179.3  1   17.296   17.296  1   31.488   31.488  4
  190.1  189.7  1   17.090   17.090  1   31.441   31.441  4
  200.0  199.6  1   16.846   16.846  1   31.479   31.479  4
  219.9  219.5  1   16.562   16.562  4   31.449   31.449  4
  240.2  239.8  1   16.345   16.345  4   31.333   31.333  4
  259.6  259.2  1   15.912   15.912  3   31.282   31.282  4
  280.4  280.0  1   15.521   15.521  1   31.254   31.254  4
  300.2  299.8  1   15.210   15.210  4   31.208   31.208  4
  330.5  330.1  1   14.866   14.866  4   31.021   31.021  4
  359.8  359.4  1   14.302   14.302  3   30.956   30.956  4
  400.3  399.9  1   13.676   13.676  4   31.090   31.090  4
  450.1  449.7  1   13.292   13.292  4   30.876   30.876  4
  500.4  500.0  1   12.445   12.445  1   30.950   30.950  4
  549.9  549.5  1   11.600   11.600  1   30.791   30.791  4
  599.6  599.2  1   10.911   10.911  1   30.772   30.772  4
  650.1  649.7  1   10.105   10.105  1   30.883   30.883  4
  699.8  699.4  1    9.163    9.163  1   30.906   30.906  4
  749.6  749.2  1    8.457    8.457  1   30.993   30.993  4
  799.4  799.0  1    8.055    8.055  4   31.017   31.017  4
  850.1  849.7  1    7.721    7.721  4   30.856   30.856  4
  900.5  900.1  1    6.743    6.743  3   30.807   30.807  4
  949.9  949.5  1    5.732    5.732  1   30.963   30.963  4
  998.8  998.4  1    5.264    5.264  1   31.039   31.039  4
 1050.5 1050.1  1    4.910    4.910  1   30.968   30.968  4
 1099.9 1099.5  1    4.519    4.519  1   31.136   31.136  4
 1149.6 1149.2  1    4.373    4.373  1   31.091   31.091  4
 1200.2 1199.8  1    4.172    4.172  1   31.126   31.126  4
 1250.5 1250.1  1    4.051    4.051  1   31.078   31.078  4
 1300.0 1299.6  1    3.830    3.830  1   31.098   31.098  4
 1350.2 1349.8  1    3.679    3.679  1   31.078   31.078  4
 1399.8 1399.4  1    3.438    3.438  1   31.126   31.126  4
 1499.7 1499.3  1    3.185    3.185  1   31.159   31.159  4
 1600.0 1599.6  1    2.952    2.952  1   31.174   31.174  4
 1700.3 1699.9  1    2.877    2.877  1   31.193   31.193  4
 1800.2 1799.8  1    2.828    2.828  1   31.234   31.234  4
 1900.3 1899.9  1    2.790    2.790  3   31.268   31.268  4
