*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :5904170
     CYCLE NUMBER          :221
     DATE CREATION         :20191221090609
     DATE UPDATE           :20191221090609
     PROJECT NAME          :US ARGO PROJECT
     PI NAME               :STEPHEN RISER
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :6402
     FIRMWARE VERSION      :112510
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25555.7268 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-20
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :-33.620 
     LONGITUDE             :-47.566 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    5.5    5.7  1   21.578   21.578  1   36.419   36.419  1
    9.6    9.8  1   21.535   21.535  1   36.428   36.428  1
   19.3   19.5  1   21.284   21.284  1   36.428   36.428  1
   30.2   30.4  1   21.256   21.256  1   36.425   36.425  1
   38.6   38.8  1   21.246   21.246  1   36.422   36.422  1
   50.6   50.8  1   20.939   20.939  1   36.381   36.381  1
   60.1   60.3  1   20.831   20.831  1   36.387   36.387  1
   70.1   70.3  1   20.461   20.461  1   36.384   36.384  1
   80.1   80.3  1   19.738   19.738  1   36.347   36.347  1
   90.0   90.2  1   19.345   19.345  1   36.289   36.289  1
   99.9  100.1  1   18.941   18.941  1   36.242   36.242  1
  110.1  110.3  1   18.531   18.531  1   36.190   36.190  1
  118.3  118.5  1   18.226   18.226  1   36.126   36.126  1
  130.6  130.8  1   17.551   17.551  1   35.992   35.992  1
  140.5  140.7  1   16.993   16.993  1   35.884   35.884  1
  150.2  150.4  1   16.958   16.958  1   35.925   35.925  1
  160.6  160.8  1   16.750   16.750  1   35.892   35.892  1
  170.4  170.6  1   16.540   16.540  1   35.842   35.842  1
