*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :5904608
     CYCLE NUMBER          :149
     DATE CREATION         :20191218190745
     DATE UPDATE           :20191218190745
     PROJECT NAME          :UW, Argo
     PI NAME               :STEPHEN RISER
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :6846
     FIRMWARE VERSION      :112510
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25552.9800 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-17
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :-36.349 
     LONGITUDE             :-168.544
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    5.8    6.2  1   19.975   19.975  1   35.208   35.208  1
    9.5    9.9  1   19.804   19.804  1   35.244   35.244  1
   20.3   20.7  1   19.237   19.237  1   35.266   35.266  1
   30.6   31.0  1   18.848   18.848  1   35.252   35.252  1
   40.4   40.8  1   16.921   16.921  1   35.254   35.254  1
   50.1   50.5  1   16.554   16.554  1   35.333   35.333  1
   60.2   60.6  1   16.177   16.177  1   35.282   35.282  1
   70.1   70.5  1   15.893   15.893  1   35.305   35.305  1
   80.4   80.8  1   15.521   15.521  1   35.236   35.236  1
   89.4   89.8  1   15.254   15.254  1   35.221   35.221  1
  100.1  100.5  1   15.130   15.130  1   35.235   35.235  1
  109.9  110.3  1   14.995   14.995  1   35.218   35.218  1
  119.5  119.9  1   14.868   14.868  1   35.209   35.209  1
  129.9  130.3  1   14.707   14.707  1   35.200   35.200  1
  139.6  140.0  1   14.096   14.096  1   35.134   35.134  1
  149.2  149.6  1   13.853   13.853  1   35.120   35.120  1
  160.1  160.5  1   13.509   13.509  1   35.075   35.075  1
  170.6  171.0  1   13.199   13.199  1   35.042   35.042  1
  180.0  180.4  1   12.995   12.995  1   35.041   35.041  1
  190.1  190.5  1   12.923   12.923  1   35.066   35.066  1
  200.5  200.9  1   12.704   12.704  1   35.041   35.041  1
  210.2  210.6  1   12.397   12.397  1   34.995   34.995  1
  220.3  220.7  1   11.830   11.830  1   34.914   34.914  1
  230.4  230.8  1   11.583   11.583  1   34.889   34.889  1
  239.9  240.3  1   11.353   11.353  1   34.860   34.860  1
  250.4  250.8  1   11.057   11.057  1   34.829   34.829  1
  260.3  260.7  1   10.839   10.839  1   34.804   34.804  1
  269.8  270.2  1   10.648   10.648  1   34.791   34.791  1
  280.4  280.8  1   10.436   10.436  1   34.762   34.762  1
  290.2  290.6  1   10.141   10.141  1   34.718   34.718  1
  300.1  300.5  1    9.872    9.872  1   34.684   34.684  1
  310.0  310.4  1    9.732    9.732  1   34.668   34.668  1
  320.3  320.7  1    9.604    9.604  1   34.658   34.658  1
  330.2  330.6  1    9.464    9.464  1   34.643   34.643  1
  340.3  340.7  1    9.329    9.329  1   34.629   34.629  1
  350.1  350.5  1    9.240    9.240  1   34.617   34.617  1
  360.4  360.8  1    9.110    9.110  1   34.602   34.602  1
  380.0  380.4  1    8.940    8.940  1   34.582   34.582  1
  400.5  400.9  1    8.754    8.754  1   34.561   34.561  1
  450.2  450.6  1    8.182    8.182  1   34.498   34.498  1
  500.3  500.7  1    7.865    7.865  1   34.468   34.468  1
  550.2  550.6  1    7.535    7.535  1   34.434   34.434  1
  599.8  600.2  1    7.304    7.304  1   34.416   34.416  1
  649.8  650.2  1    7.092    7.092  1   34.396   34.396  1
  699.6  700.0  1    6.841    6.841  1   34.375   34.375  1
  750.3  750.7  1    6.664    6.664  1   34.368   34.368  1
  800.1  800.5  1    6.431    6.431  1   34.354   34.354  1
  849.9  850.3  1    6.149    6.149  1   34.344   34.344  1
  900.4  900.8  1    5.915    5.915  1   34.338   34.338  1
  950.6  951.0  1    5.567    5.567  1   34.332   34.332  1
 1000.4 1000.8  1    5.221    5.221  1   34.332   34.332  1
 1050.2 1050.6  1    4.937    4.937  1   34.335   34.335  1
 1099.6 1100.0  1    4.595    4.595  1   34.343   34.343  1
 1149.9 1150.3  1    4.193    4.193  1   34.360   34.360  1
 1199.8 1200.2  1    3.916    3.916  1   34.379   34.379  1
 1250.3 1250.7  1    3.741    3.741  1   34.394   34.394  1
 1300.6 1301.0  1    3.587    3.587  1   34.409   34.409  1
 1350.2 1350.6  1    3.370    3.370  1   34.435   34.435  1
 1400.0 1400.4  1    3.210    3.210  1   34.466   34.466  1
 1450.1 1450.5  1    3.101    3.101  1   34.489   34.489  1
 1500.5 1500.9  1    2.988    2.988  1   34.515   34.515  1
 1550.0 1550.4  1    2.916    2.916  1   34.536   34.536  1
 1599.6 1600.0  1    2.842    2.842  1   34.546   34.546  1
 1650.3 1650.7  1    2.747    2.747  1   34.561   34.561  1
 1700.2 1700.6  1    2.689    2.689  1   34.577   34.577  1
