*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6901189
     CYCLE NUMBER          :130
     DATE CREATION         :20191225140638
     DATE UPDATE           :20191225140638
     PROJECT NAME          :Argo UK
     PI NAME               :Jon Turton
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :7575
     FIRMWARE VERSION      :Apf9tSbe41St7.2.
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25560.3389 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-25
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :56.121  
     LONGITUDE             :-25.424 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    4.1    4.5  1    9.660    9.660  1   35.209   35.209  1
   10.2   10.6  1    9.655    9.655  1   35.209   35.209  1
   15.3   15.7  1    9.659    9.659  1   35.209   35.209  1
   20.3   20.7  1    9.658    9.658  1   35.209   35.209  1
   24.9   25.3  1    9.662    9.662  1   35.209   35.209  1
   29.3   29.7  1    9.667    9.667  1   35.210   35.210  1
   34.7   35.1  1    9.669    9.669  1   35.210   35.210  1
   40.1   40.5  1    9.672    9.672  1   35.210   35.210  1
   50.3   50.7  1    9.672    9.672  1   35.210   35.210  1
   60.2   60.6  1    9.672    9.672  1   35.210   35.210  1
   69.8   70.2  1    9.669    9.669  1   35.208   35.208  1
   80.1   80.5  1    9.633    9.633  1   35.203   35.203  1
   88.9   89.3  1    9.622    9.622  1   35.199   35.199  1
  100.3  100.7  1    9.623    9.623  1   35.200   35.200  1
  110.2  110.6  1    9.620    9.620  1   35.199   35.199  1
  120.6  121.0  1    9.618    9.618  1   35.199   35.199  1
  130.1  130.5  1    9.618    9.618  1   35.198   35.198  1
  140.5  140.9  1    9.616    9.616  1   35.199   35.199  1
  150.2  150.6  1    9.616    9.616  1   35.198   35.198  1
  160.5  160.9  1    9.615    9.615  1   35.198   35.198  1
  170.3  170.7  1    9.627    9.627  1   35.199   35.199  1
  180.1  180.5  1    9.630    9.630  1   35.200   35.200  1
  190.0  190.4  1    9.631    9.631  1   35.201   35.201  1
  199.7  200.1  1    9.632    9.632  1   35.200   35.200  1
  219.6  220.0  1    9.626    9.626  1   35.199   35.199  1
  239.5  239.9  1    9.620    9.620  1   35.198   35.198  1
  260.3  260.7  1    9.483    9.483  1   35.211   35.211  1
  279.8  280.2  1    9.238    9.238  1   35.170   35.170  1
  300.2  300.6  1    8.955    8.955  1   35.128   35.128  1
  330.5  330.9  1    8.965    8.965  1   35.169   35.169  1
  360.4  360.8  1    8.885    8.885  1   35.178   35.178  1
  400.1  400.5  1    8.572    8.572  1   35.160   35.160  1
  449.6  450.0  1    8.029    8.029  1   35.111   35.111  1
  499.7  500.1  1    7.354    7.354  1   35.063   35.063  1
  550.1  550.5  1    6.507    6.507  1   34.986   34.986  1
  599.8  600.2  1    6.417    6.417  1   35.039   35.039  1
  649.6  650.0  1    6.268    6.268  1   35.078   35.078  1
  700.0  700.4  1    5.843    5.843  1   35.045   35.045  1
  750.0  750.4  1    5.662    5.662  1   35.053   35.053  1
  800.2  800.6  1    5.220    5.220  1   35.019   35.019  1
  850.3  850.7  1    4.887    4.887  1   34.986   34.986  1
  900.3  900.7  1    4.726    4.726  1   34.982   34.982  1
  949.7  950.1  1    4.560    4.560  1   34.970   34.970  1
 1000.1 1000.5  1    4.413    4.413  1   34.956   34.956  1
 1050.1 1050.5  1    4.292    4.292  1   34.948   34.948  1
 1100.6 1101.0  1    4.192    4.192  1   34.941   34.941  1
 1150.2 1150.6  1    4.110    4.110  1   34.936   34.936  1
 1200.3 1200.7  1    4.037    4.037  1   34.932   34.932  1
 1250.0 1250.4  1    3.979    3.979  1   34.928   34.928  1
 1300.2 1300.6  1    3.926    3.926  1   34.925   34.925  1
 1349.9 1350.3  1    3.869    3.869  1   34.921   34.921  1
 1400.3 1400.7  1    3.813    3.813  1   34.918   34.918  1
 1499.5 1499.9  1    3.729    3.729  1   34.912   34.912  1
 1599.8 1600.2  1    3.666    3.666  1   34.911   34.911  1
 1699.9 1700.3  1    3.611    3.611  1   34.910   34.910  1
 1800.2 1800.6  1    3.592    3.592  1   34.916   34.916  1
 1900.1 1900.5  1    3.604    3.604  1   34.927   34.927  1
