*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6901196
     CYCLE NUMBER          :103
     DATE CREATION         :20191210200718
     DATE UPDATE           :20191210200718
     PROJECT NAME          :Argo UK
     PI NAME               :Jon Turton
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :6604
     FIRMWARE VERSION      :012811
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :IRIDIUM
     POSITIONING SYSTEM    :GPS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25545.5608 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-10
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :22.936  
     LONGITUDE             :-37.599 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    3.5    3.4  1   25.179   25.179  1   37.468   37.468  1
    8.9    8.9  1   25.174   25.174  1   37.469   37.469  1
   14.7   14.6  1   25.177   25.177  1   37.469   37.469  1
   19.8   19.7  1   25.185   25.185  1   37.468   37.468  1
   24.1   24.0  1   25.184   25.184  1   37.467   37.467  1
   29.1   29.0  1   25.186   25.186  1   37.467   37.467  1
   33.7   33.6  1   25.186   25.186  1   37.467   37.467  1
   38.7   38.6  1   25.188   25.188  1   37.467   37.467  1
   47.9   47.9  1   25.192   25.192  1   37.467   37.467  1
   58.6   58.5  1   25.194   25.194  1   37.467   37.467  1
   68.3   68.2  1   25.190   25.190  1   37.467   37.467  1
   77.9   77.8  1   25.191   25.191  1   37.466   37.466  1
   89.9   89.8  1   24.934   24.934  1   37.432   37.432  1
   99.5   99.4  1   24.072   24.072  1   37.394   37.394  1
  108.5  108.4  1   23.028   23.028  1   37.298   37.298  1
  118.6  118.5  1   22.206   22.206  1   37.207   37.207  1
  128.1  128.0  1   21.711   21.711  1   37.140   37.140  1
  137.8  137.7  1   21.526   21.526  1   37.111   37.111  1
  148.2  148.1  1   21.366   21.366  1   37.104   37.104  1
  157.8  157.8  1   21.173   21.173  1   37.093   37.093  1
  168.2  168.2  1   20.796   20.796  1   37.011   37.011  1
  178.5  178.4  1   20.405   20.405  1   36.942   36.942  1
  187.4  187.3  1   20.175   20.175  1   36.928   36.928  1
  199.1  199.0  1   19.655   19.655  1   36.826   36.826  1
  218.7  218.7  1   18.873   18.873  1   36.677   36.677  1
  238.1  238.0  1   18.295   18.295  1   36.569   36.569  1
  258.1  258.0  1   17.997   17.997  1   36.517   36.517  1
  277.9  277.8  1   17.568   17.568  1   36.448   36.448  1
  298.2  298.2  1   17.276   17.276  1   36.405   36.405  1
  328.0  327.9  1   16.934   16.934  1   36.346   36.346  1
  357.7  357.6  1   16.129   16.129  1   36.213   36.213  1
  398.9  398.8  1   15.445   15.445  1   36.112   36.112  1
  448.2  448.2  1   14.719   14.719  1   36.002   36.002  1
  497.4  497.3  1   13.922   13.922  1   35.890   35.890  1
  548.3  548.3  1   13.200   13.200  1   35.791   35.791  1
  599.2  599.2  1   12.265   12.265  1   35.672   35.672  1
  647.8  647.8  1   11.314   11.314  1   35.545   35.545  1
  697.7  697.7  1   10.535   10.535  1   35.455   35.455  1
  748.2  748.1  1    9.793    9.793  1   35.383   35.383  1
  798.5  798.5  1    8.757    8.757  1   35.262   35.262  1
  848.0  848.0  1    8.252    8.252  1   35.202   35.202  1
  897.7  897.6  1    7.640    7.640  1   35.135   35.135  1
  947.8  947.7  1    7.105    7.105  1   35.088   35.088  1
  998.3  998.2  1    6.646    6.646  1   35.062   35.062  1
 1048.3 1048.3  1    6.289    6.289  1   35.047   35.047  1
 1097.6 1097.5  1    6.049    6.049  1   35.043   35.043  1
 1148.6 1148.5  1    5.754    5.754  1   35.036   35.036  1
 1198.6 1198.5  1    5.635    5.635  1   35.046   35.046  1
 1248.0 1248.0  1    5.509    5.509  1   35.051   35.051  1
 1296.9 1296.9  1    5.356    5.356  1   35.056   35.056  1
 1347.8 1347.7  1    5.217    5.217  1   35.059   35.059  1
 1396.7 1396.6  1    5.054    5.054  1   35.059   35.059  1
 1498.5 1498.4  1    4.854    4.854  1   35.060   35.060  1
 1598.1 1598.0  1    4.626    4.626  1   35.053   35.053  1
 1698.0 1698.0  1    4.342    4.342  1   35.039   35.039  1
 1798.2 1798.2  1    4.169    4.169  1   35.030   35.030  1
 1897.8 1897.7  1    3.962    3.962  1   35.020   35.020  1
