*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6901198
     CYCLE NUMBER          :100
     DATE CREATION         :20191203020714
     DATE UPDATE           :20191203020714
     PROJECT NAME          :Argo UK
     PI NAME               :Jon Turton
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :6989
     FIRMWARE VERSION      :Apf9tSbe41StFlas
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25538.0131 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-03
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :22.475
     LONGITUDE             :-44.590
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    3.9    3.8  1   26.432   26.432  1   37.518  -99.999  4
    9.5    9.4  1   26.432   26.432  1   37.518  -99.999  4
   15.5   15.4  1   26.436   26.436  1   37.517  -99.999  4
   19.4   19.3  1   26.424   26.424  1   37.516  -99.999  4
   24.7   24.6  1   26.344   26.344  1   37.512  -99.999  4
   29.9   29.8  1   26.338   26.338  1   37.512  -99.999  4
   35.1   35.0  1   26.336   26.336  1   37.511  -99.999  4
   40.3   40.2  1   26.327   26.327  1   37.511  -99.999  4
   50.0   49.9  1   26.313   26.313  1   37.512  -99.999  4
   59.7   59.6  1   26.296   26.296  1   37.511  -99.999  4
   69.6   69.5  1   26.268   26.268  1   37.526  -99.999  4
   80.3   80.2  1   26.304   26.304  1   37.563  -99.999  4
   90.4   90.3  1   26.286   26.286  1   37.573  -99.999  4
  100.6  100.5  1   25.484   25.484  1   37.515  -99.999  4
  110.4  110.3  1   24.612   24.612  1   37.462  -99.999  4
  120.5  120.4  1   23.334   23.334  1   37.413  -99.999  4
  130.0  129.9  1   22.931   22.931  1   37.387  -99.999  4
  140.3  140.2  1   22.316   22.316  1   37.334  -99.999  4
  150.6  150.5  1   21.547   21.547  1   37.227  -99.999  4
  160.1  160.0  1   21.003   21.003  1   37.133  -99.999  4
  170.0  169.9  1   20.477   20.477  1   37.044  -99.999  4
  180.3  180.2  1   20.359   20.359  1   37.022  -99.999  4
  190.4  190.3  1   19.990   19.990  1   36.962  -99.999  4
  200.0  199.9  1   19.583   19.583  1   36.883  -99.999  4
  220.5  220.4  1   18.762   18.762  1   36.719  -99.999  4
  240.3  240.2  1   18.338   18.338  1   36.654  -99.999  4
  259.6  259.5  1   18.037   18.037  1   36.605  -99.999  4
  280.6  280.5  1   17.517   17.517  1   36.515  -99.999  4
  300.0  299.9  1   16.922   16.922  1   36.413  -99.999  4
  329.7  329.6  1   16.284   16.284  1   36.309  -99.999  4
  359.7  359.6  1   15.914   15.914  1   36.250  -99.999  4
  399.7  399.6  1   15.203   15.203  1   36.139  -99.999  4
  449.6  449.5  1   14.070   14.070  1   35.974  -99.999  4
  500.5  500.4  1   13.041   13.041  1   35.829  -99.999  4
  549.5  549.4  1   12.479   12.479  1   35.753  -99.999  4
  600.3  600.2  1   11.725   11.725  1   35.659  -99.999  4
  649.3  649.2  1   10.809   10.809  1   35.537  -99.999  4
  700.0  699.9  1   10.284   10.284  1   35.469  -99.999  4
  750.1  750.0  1    9.611    9.611  1   35.388  -99.999  4
  800.1  800.0  1    8.692    8.692  1   35.274  -99.999  4
  849.6  849.5  1    7.989    7.989  1   35.194  -99.999  4
  899.6  899.5  1    7.164    7.164  1   35.111  -99.999  4
  950.2  950.1  1    6.717    6.717  1   35.063  -99.999  4
 1000.5 1000.4  1    6.275    6.275  1   35.035  -99.999  4
 1050.0 1049.9  1    6.031    6.031  1   35.030  -99.999  4
 1099.7 1099.6  1    5.803    5.803  1   35.034  -99.999  4
 1149.8 1149.7  1    5.662    5.662  1   35.045  -99.999  4
 1200.1 1200.0  1    5.509    5.509  1   35.057  -99.999  4
 1250.3 1250.2  1    5.416    5.416  1   35.064  -99.999  4
 1300.0 1299.9  1    5.247    5.247  1   35.081  -99.999  4
 1349.9 1349.8  1    5.119    5.119  1   35.094  -99.999  4
 1399.9 1399.8  1    5.047    5.047  1   35.102  -99.999  4
 1500.0 1499.9  1    4.732    4.732  1   35.113  -99.999  4
 1599.9 1599.8  1    4.442    4.442  1   35.103  -99.999  4
 1700.0 1699.9  1    4.139    4.139  1   35.086  -99.999  4
 1800.3 1800.2  1    4.012    4.012  1   35.079  -99.999  4
 1899.9 1899.8  1    3.754    3.754  1   35.064  -99.999  4
