*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6901722
     CYCLE NUMBER          :126
     DATE CREATION         :20191221071649
     DATE UPDATE           :20191221071703
     PROJECT NAME          :RREX ASFAR
     PI NAME               :Virginie THIERRY
     INSTRUMENT TYPE       :ARVOR
     FLOAT SERIAL NO       :OIN-14-AR-061
     FIRMWARE VERSION      :5611A01
     WMO INSTRUMENT TYPE   :844
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :R(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25555.0479 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-20
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :54.097
     LONGITUDE             :-43.573
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    3.0    3.0  1    4.588    4.588  1   28.379   28.379  4
    4.0    4.0  1    4.586    4.586  1   28.381   28.381  4
    5.0    5.0  1    4.585    4.585  1   28.379   28.379  4
    7.0    7.0  1    4.588    4.588  1   28.378   28.378  4
    9.0    9.0  1    4.585    4.585  1   28.378   28.378  4
   16.0   16.0  1    4.588    4.588  1   28.378   28.378  4
   35.0   35.0  1    4.592    4.592  1   28.377   28.377  4
   55.0   55.0  1    4.594    4.594  1   28.375   28.375  4
   76.0   76.0  1    4.596    4.596  1   28.375   28.375  4
   95.0   95.0  1    4.594    4.594  1   28.373   28.373  4
  105.0  105.0  1    4.548    4.548  1   28.370   28.370  4
  116.0  116.0  1    4.528    4.528  1   28.369   28.369  4
  125.0  125.0  1    4.504    4.504  1   28.371   28.371  4
  135.0  135.0  1    4.354    4.354  1   28.407   28.407  4
  145.0  145.0  1    4.007    4.007  1   28.457   28.457  4
  156.0  156.0  1    3.820    3.820  1   28.485   28.485  4
  166.0  166.0  1    3.787    3.787  1   28.490   28.490  4
  176.0  176.0  1    3.751    3.751  1   28.495   28.495  4
  186.0  186.0  1    3.737    3.737  1   28.497   28.497  4
  195.0  195.0  1    3.721    3.721  1   28.501   28.501  4
  206.0  206.0  1    3.721    3.721  1   28.503   28.503  4
  216.0  216.0  1    3.723    3.723  1   28.506   28.506  4
  225.0  225.0  1    3.726    3.726  1   28.511   28.511  4
  236.0  236.0  1    3.741    3.741  1   28.516   28.516  4
  246.0  246.0  1    3.729    3.729  1   28.520   28.520  4
  255.0  255.0  1    3.710    3.710  1   28.521   28.521  4
  265.0  265.0  1    3.698    3.698  1   28.521   28.521  4
  276.0  276.0  1    3.669    3.669  1   28.521   28.521  4
  285.0  285.0  1    3.678    3.678  1   28.526   28.526  4
  296.0  296.0  1    3.706    3.706  1   28.531   28.531  4
  306.0  306.0  1    3.720    3.720  1   28.535   28.535  4
  316.0  316.0  1    3.821    3.821  1   28.548   28.548  4
  326.0  326.0  1    3.884    3.884  1   32.550   32.550  4
  335.0  335.0  1    3.917    3.917  1   35.223   35.223  4
  346.0  346.0  1    3.886    3.886  1   35.221   35.221  4
  355.0  355.0  1    3.846    3.846  1   35.220   35.220  4
  375.0  375.0  1    3.848    3.848  1   35.225   35.225  4
  396.0  396.0  1    3.774    3.774  1   35.217   35.217  4
  415.0  415.0  1    3.743    3.743  1   35.220   35.220  4
  436.0  436.0  1    3.734    3.734  1   35.220   35.220  4
  455.0  455.0  1    3.699    3.699  1   35.218   35.218  4
  476.0  476.0  1    3.672    3.672  1   35.215   35.215  4
  496.0  496.0  1    3.683    3.683  1   35.220   35.220  4
  538.0  538.0  1    3.681    3.681  1   35.223   35.223  4
  588.0  588.0  1    3.649    3.649  1   35.224   35.224  4
  864.0  864.0  1    3.590    3.590  1   35.237   35.237  4
  913.0  913.0  1    3.566    3.566  1   35.234   35.234  4
  963.0  963.0  1    3.517    3.517  1   35.228   35.228  4
  988.0  988.0  1    3.493    3.493  1   35.225   35.225  4
 1013.0 1013.0  1    3.468    3.468  1   35.222   35.222  4
 1038.0 1038.0  1    3.450    3.450  1   35.220   35.220  4
 1064.0 1064.0  1    3.418    3.418  1   35.216   35.216  4
 1088.0 1088.0  1    3.399    3.399  1   35.213   35.213  4
 1113.0 1113.0  1    3.383    3.383  1   35.211   35.211  4
 1138.0 1138.0  1    3.377    3.377  1   35.211   35.211  4
 1163.0 1163.0  1    3.378    3.378  1   35.211   35.211  4
 1188.0 1188.0  1    3.379    3.379  1   35.212   35.212  4
 1238.0 1238.0  1    3.382    3.382  1   35.214   35.214  4
 1288.0 1288.0  1    3.370    3.370  1   35.214   35.214  4
 1338.0 1338.0  1    3.371    3.371  1   35.215   35.215  4
 1389.0 1389.0  1    3.372    3.372  1   35.218   35.218  4
 1438.0 1438.0  1    3.385    3.385  1   35.223   35.223  4
 1488.0 1488.0  1    3.400    3.400  1   35.224   35.224  4
 1538.0 1538.0  1    3.380    3.380  1   35.221   35.221  4
 1563.0 1563.0  1    3.371    3.371  1   35.220   35.220  4
 1589.0 1589.0  1    3.383    3.383  1   35.223   35.223  4
 1613.0 1613.0  1    3.436    3.436  1   35.234   35.234  4
 1638.0 1638.0  1    3.464    3.464  1   35.241   35.241  4
 1663.0 1663.0  1    3.478    3.478  1   35.246   35.246  4
 1688.0 1688.0  1    3.493    3.493  1   35.252   35.252  4
 1713.0 1713.0  1    3.499    3.499  1   35.255   35.255  4
 1738.0 1738.0  1    3.500    3.500  1   35.260   35.260  4
 1763.0 1763.0  1    3.496    3.496  1   35.262   35.262  4
 1789.0 1789.0  1    3.491    3.491  1   35.264   35.264  4
 1813.0 1813.0  1    3.484    3.484  1   35.265   35.265  4
 1838.0 1838.0  1    3.473    3.473  1   35.266   35.266  4
 1863.0 1863.0  1    3.459    3.459  1   35.267   35.267  4
 1888.0 1888.0  1    3.447    3.447  1   35.269   35.269  4
 1913.0 1913.0  1    3.431    3.431  1   35.269   35.269  4
 1938.0 1938.0  1    3.411    3.411  1   35.270   35.270  4
 1963.0 1963.0  1    3.391    3.391  1   35.270   35.270  4
 1981.0 1981.0  1    3.386    3.386  1   35.271   35.271  4
