*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6901919
     CYCLE NUMBER          :215
     DATE CREATION         :20191230141053
     DATE UPDATE           :20191230141053
     PROJECT NAME          :Argo Ireland
     PI NAME               :Fiona Grant
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :7244
     FIRMWARE VERSION      :110613
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25565.4836 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-30
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :45.917  
     LONGITUDE             :-15.822 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    3.9    4.2  1   13.243   13.243  1   35.687   35.687  1
   10.6   10.9  1   13.244   13.244  1   35.687   35.687  1
   15.4   15.7  1   13.237   13.237  1   35.686   35.686  1
   20.5   20.8  1   13.229   13.229  1   35.685   35.685  1
   24.9   25.2  1   13.223   13.223  1   35.685   35.685  1
   29.7   30.0  1   13.236   13.236  1   35.686   35.686  1
   35.5   35.8  1   13.221   13.221  1   35.683   35.683  1
   39.5   39.8  1   13.211   13.211  1   35.682   35.682  1
   49.7   50.0  1   12.959   12.959  1   35.652   35.652  1
   60.1   60.4  1   12.755   12.755  1   35.627   35.627  1
   70.4   70.7  1   12.755   12.755  1   35.627   35.627  1
   80.0   80.3  1   12.758   12.758  1   35.627   35.627  1
   90.2   90.5  1   12.758   12.758  1   35.627   35.627  1
  100.5  100.8  1   12.758   12.758  1   35.627   35.627  1
  110.5  110.8  1   12.756   12.756  1   35.628   35.628  1
  120.5  120.8  1   12.758   12.758  1   35.628   35.628  1
  129.7  130.0  1   12.759   12.759  1   35.628   35.628  1
  140.1  140.4  1   12.760   12.760  1   35.629   35.629  1
  150.4  150.7  1   12.761   12.761  1   35.629   35.629  1
  160.5  160.8  1   12.754   12.754  1   35.628   35.628  1
  170.1  170.4  1   12.719   12.719  1   35.630   35.630  1
  180.0  180.3  1   12.677   12.677  1   35.630   35.630  1
  189.6  189.9  1   12.579   12.579  1   35.625   35.625  1
  200.5  200.8  1   12.424   12.424  1   35.620   35.620  1
  220.5  220.8  1   12.217   12.217  1   35.607   35.607  1
  240.5  240.8  1   12.138   12.138  1   35.599   35.599  1
  260.3  260.6  1   11.984   11.984  1   35.576   35.576  1
  280.5  280.8  1   11.806   11.806  1   35.551   35.551  1
  299.9  300.2  1   11.689   11.689  1   35.535   35.535  1
  329.9  330.2  1   11.501   11.501  1   35.510   35.510  1
  359.9  360.2  1   11.379   11.379  1   35.493   35.493  1
  400.0  400.3  1   11.172   11.172  1   35.475   35.475  1
  450.0  450.3  1   11.042   11.042  1   35.478   35.478  1
  500.3  500.6  1   10.849   10.849  1   35.477   35.477  1
  550.3  550.6  1   10.639   10.639  1   35.480   35.480  1
  600.1  600.4  1   10.360   10.360  1   35.482   35.482  1
  650.5  650.8  1   10.220   10.220  1   35.477   35.477  1
  700.4  700.7  1   10.058   10.058  1   35.477   35.477  1
  750.2  750.5  1    9.763    9.763  1   35.485   35.485  1
  799.6  799.9  1    9.661    9.661  1   35.519   35.519  1
  850.5  850.8  1    9.903    9.903  1   35.667   35.667  1
  899.6  899.9  1    9.548    9.548  1   35.638   35.638  1
  950.2  950.5  1    9.425    9.425  1   35.667   35.667  1
  999.6  999.9  1    9.137    9.137  1   35.641   35.641  1
 1050.1 1050.4  1    8.525    8.525  1   35.551   35.551  1
 1100.5 1100.8  1    7.752    7.752  1   35.461   35.461  1
 1150.4 1150.7  1    7.574    7.574  1   35.468   35.468  1
 1200.6 1200.9  1    7.212    7.212  1   35.423   35.423  1
 1249.8 1250.1  1    6.847    6.847  1   35.371   35.371  1
 1300.2 1300.5  1    6.463    6.463  1   35.308   35.308  1
 1350.2 1350.5  1    6.052    6.052  1   35.246   35.246  1
 1400.3 1400.6  1    5.632    5.632  1   35.186   35.186  1
 1500.4 1500.7  1    4.985    4.985  1   35.091   35.091  1
 1600.0 1600.3  1    4.551    4.551  1   35.035   35.035  1
 1699.2 1699.5  1    4.251    4.251  1   35.006   35.006  1
 1800.2 1800.5  1    4.044    4.044  1   34.986   34.986  1
 1900.3 1900.6  1    3.846    3.846  1   34.972   34.972  1
