*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6901921
     CYCLE NUMBER          :171
     DATE CREATION         :20191214140821
     DATE UPDATE           :20191214140821
     PROJECT NAME          :Argo Ireland
     PI NAME               :Diarmuid O'Conchubhair
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :7243
     FIRMWARE VERSION      :110613
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25549.4733 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-14
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :58.239  
     LONGITUDE             :-45.118 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    4.9    5.3  1    5.296    5.296  1   34.828   34.828  1
    9.9   10.3  1    5.294    5.294  1   34.827   34.827  1
   15.0   15.4  1    5.297    5.297  1   34.826   34.826  1
   17.5   17.9  1    5.298    5.298  1   34.827   34.827  1
   25.1   25.5  1    5.301    5.301  1   34.828   34.828  1
   30.0   30.4  1    5.299    5.299  1   34.827   34.827  1
   35.5   35.9  1    5.295    5.295  1   34.828   34.828  1
   40.6   41.0  1    5.294    5.294  1   34.828   34.828  1
   50.5   50.9  1    5.296    5.296  1   34.827   34.827  1
   59.0   59.4  1    5.291    5.291  1   34.826   34.826  1
   70.8   71.2  1    5.301    5.301  1   34.828   34.828  1
   80.4   80.8  1    5.305    5.305  1   34.827   34.827  1
   89.8   90.2  1    5.308    5.308  1   34.827   34.827  1
   99.7  100.1  1    5.310    5.310  1   34.827   34.827  1
  110.6  111.0  1    5.347    5.347  1   34.834   34.834  1
  120.2  120.6  1    5.362    5.362  1   34.837   34.837  1
  130.3  130.7  1    5.371    5.371  1   34.840   34.840  1
  140.6  141.0  1    5.411    5.411  1   34.846   34.846  1
  150.1  150.5  1    5.441    5.441  1   34.855   34.855  1
  160.4  160.8  1    5.635    5.635  1   34.901   34.901  1
  170.2  170.6  1    5.694    5.694  1   34.927   34.927  1
  180.3  180.7  1    5.564    5.564  1   34.943   34.943  1
  189.9  190.3  1    5.482    5.482  1   34.942   34.942  1
  199.9  200.3  1    5.344    5.344  1   34.942   34.942  1
  219.4  219.8  1    5.230    5.230  1   34.941   34.941  1
  240.1  240.5  1    5.127    5.127  1   34.940   34.940  1
  260.0  260.4  1    4.981    4.981  1   34.942   34.942  1
  280.1  280.5  1    4.902    4.902  1   34.941   34.941  1
  299.6  300.0  1    4.775    4.775  1   34.939   34.939  1
  330.2  330.6  1    4.588    4.588  1   34.936   34.936  1
  358.8  359.2  1    4.503    4.503  1   34.940   34.940  1
  400.0  400.4  1    4.305    4.305  1   34.935   34.935  1
  449.9  450.3  1    4.171    4.171  1   34.936   34.936  1
  499.8  500.2  1    4.088    4.088  1   34.939   34.939  1
  550.0  550.4  1    3.987    3.987  1   34.935   34.935  1
  600.0  600.4  1    3.979    3.979  1   34.945   34.945  1
  650.3  650.7  1    3.917    3.917  1   34.943   34.943  1
  699.7  700.1  1    3.819    3.819  1   34.938   34.938  1
  750.0  750.4  1    3.705    3.705  1   34.929   34.929  1
  800.4  800.8  1    3.656    3.656  1   34.927   34.927  1
  849.6  850.0  1    3.574    3.574  1   34.921   34.921  1
  900.6  901.0  1    3.536    3.536  1   34.920   34.920  1
  949.9  950.3  1    3.471    3.471  1   34.912   34.912  1
 1000.1 1000.5  1    3.424    3.424  1   34.908   34.908  1
 1049.5 1049.9  1    3.400    3.400  1   34.906   34.906  1
 1099.9 1100.3  1    3.378    3.378  1   34.906   34.906  1
 1148.8 1149.2  1    3.384    3.384  1   34.909   34.909  1
 1199.9 1200.3  1    3.385    3.385  1   34.912   34.912  1
 1249.7 1250.1  1    3.439    3.439  1   34.926   34.926  1
 1299.6 1300.0  1    3.403    3.403  1   34.928   34.928  1
 1350.3 1350.7  1    3.430    3.430  1   34.940   34.940  1
 1400.5 1400.9  1    3.418    3.418  1   34.947   34.947  1
 1499.9 1500.3  1    3.303    3.303  1   34.950   34.950  1
 1599.9 1600.3  1    3.116    3.116  1   34.942   34.942  1
 1699.1 1699.5  1    2.961    2.961  1   34.945   34.945  1
 1799.6 1800.0  1    2.806    2.806  1   34.941   34.941  1
 1899.7 1900.1  1    2.548    2.548  1   34.936   34.936  1
