*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6901928
     CYCLE NUMBER          :086
     DATE CREATION         :20191226020824
     DATE UPDATE           :20191226020824
     PROJECT NAME          :Argo Ireland
     PI NAME               :Diarmuid O'Conchubhair
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :7844
     FIRMWARE VERSION      :Apf9tSbe41.7.2.5
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25560.6621 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-25
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :49.708  
     LONGITUDE             :-21.046 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    9.7   10.2  1   11.224   11.224  1   35.375   35.375  1
   15.2   15.7  1   11.224   11.224  1   35.375   35.375  1
   20.2   20.7  1   11.216   11.216  1   35.375   35.375  1
   24.3   24.8  1   11.212   11.212  1   35.375   35.375  1
   29.5   30.0  1   11.214   11.214  1   35.375   35.375  1
   34.2   34.7  1   11.216   11.216  1   35.375   35.375  1
   39.5   40.0  1   11.215   11.215  1   35.374   35.374  1
   50.2   50.7  1   11.214   11.214  1   35.374   35.374  1
   60.2   60.7  1   11.216   11.216  1   35.374   35.374  1
   70.4   70.9  1   11.218   11.218  1   35.375   35.375  1
   79.7   80.2  1   11.220   11.220  1   35.375   35.375  1
   89.5   90.0  1   11.226   11.226  1   35.376   35.376  1
  100.2  100.7  1   11.232   11.232  1   35.378   35.378  1
  110.3  110.8  1   11.233   11.233  1   35.379   35.379  1
  120.3  120.8  1   11.246   11.246  1   35.382   35.382  1
  130.5  131.0  1   11.246   11.246  1   35.380   35.380  1
  139.5  140.0  1   11.250   11.250  1   35.380   35.380  1
  150.0  150.5  1   11.225   11.225  1   35.378   35.378  1
  159.8  160.3  1   11.207   11.207  1   35.376   35.376  1
  170.1  170.6  1   11.167   11.167  1   35.372   35.372  1
  180.0  180.5  1   11.150   11.150  1   35.370   35.370  1
  189.9  190.4  1   11.125   11.125  1   35.368   35.368  1
  199.6  200.1  1   11.113   11.113  1   35.374   35.374  1
  219.6  220.1  1   11.081   11.081  1   35.384   35.384  1
  239.8  240.3  1   10.927   10.927  1   35.377   35.377  1
  259.4  259.9  1   10.791   10.791  1   35.358   35.358  1
  279.8  280.3  1   10.600   10.600  1   35.330   35.330  1
  299.5  300.0  1   10.476   10.476  1   35.311   35.311  1
  329.9  330.4  1   10.365   10.365  1   35.293   35.293  1
  360.6  361.1  1   10.035   10.035  1   35.246   35.246  1
  399.9  400.4  1    9.935    9.935  1   35.236   35.236  1
  449.6  450.1  1    9.502    9.502  1   35.190   35.190  1
  499.7  500.2  1    8.985    8.985  1   35.127   35.127  1
  549.8  550.3  1    8.420    8.420  1   35.070   35.070  1
  600.4  600.9  1    7.808    7.808  1   35.032   35.032  1
  650.3  650.8  1    7.291    7.291  1   34.992   34.992  1
  700.5  701.0  1    7.542    7.542  1   35.149   35.149  1
  750.0  750.5  1    6.640    6.640  1   35.075   35.075  1
  800.6  801.1  1    6.412    6.412  1   35.093   35.093  1
  849.9  850.4  1    6.271    6.271  1   35.099   35.099  1
  900.4  900.9  1    5.892    5.892  1   35.076   35.076  1
  950.0  950.5  1    5.599    5.599  1   35.065   35.065  1
 1000.3 1000.8  1    5.143    5.143  1   35.012   35.012  1
 1050.5 1051.0  1    4.904    4.904  1   34.993   34.993  1
 1100.1 1100.6  1    4.795    4.795  1   34.989   34.989  1
 1150.1 1150.6  1    4.632    4.632  1   34.977   34.977  1
 1200.3 1200.8  1    4.424    4.424  1   34.954   34.954  1
 1250.6 1251.1  1    4.304    4.304  1   34.948   34.948  1
 1300.0 1300.5  1    4.238    4.238  1   34.941   34.941  1
 1350.0 1350.5  1    4.123    4.123  1   34.931   34.931  1
 1399.5 1400.0  1    4.055    4.055  1   34.926   34.926  1
 1500.2 1500.7  1    3.946    3.946  1   34.919   34.919  1
 1600.6 1601.1  1    3.846    3.846  1   34.914   34.914  1
 1699.5 1700.0  1    3.774    3.774  1   34.913   34.913  1
 1799.8 1800.3  1    3.724    3.724  1   34.917   34.917  1
 1899.4 1899.9  1    3.697    3.697  1   34.923   34.923  1
