*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6901981
     CYCLE NUMBER          :172
     DATE CREATION         :20191221201643
     DATE UPDATE           :20191223071747
     PROJECT NAME          :DAP
     PI NAME               :Andreas STERL
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :7171
     FIRMWARE VERSION      :110813
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25556.6343 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-21
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :-24.402 
     LONGITUDE             :-26.263 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    6.1    6.5  1   25.430   25.430  1   36.999   36.999  1
   10.0   10.4  1   25.419   25.419  1   36.998   36.998  1
   20.6   21.0  1   24.753   24.753  1   36.958   36.958  1
   30.3   30.7  1   24.152   24.152  1   36.936   36.936  1
   40.1   40.5  1   23.823   23.823  1   36.940   36.940  1
   50.1   50.5  1   23.734   23.734  1   36.937   36.937  1
   60.1   60.5  1   23.466   23.466  1   36.911   36.911  1
   70.2   70.6  1   23.286   23.286  1   36.916   36.916  1
   80.4   80.8  1   23.063   23.063  1   36.892   36.892  1
   89.8   90.2  1   22.946   22.946  1   36.886   36.886  1
   99.5   99.9  1   22.760   22.760  1   36.877   36.877  1
  110.0  110.4  1   22.620   22.620  1   36.866   36.866  1
  119.7  120.1  1   22.446   22.446  1   36.834   36.834  1
  130.3  130.7  1   22.236   22.236  1   36.793   36.793  1
  139.9  140.3  1   21.986   21.986  1   36.736   36.736  1
  149.2  149.6  1   21.708   21.708  1   36.681   36.681  1
  160.3  160.7  1   21.067   21.067  1   36.535   36.535  1
  170.0  170.4  1   20.367   20.367  1   36.395   36.395  1
  180.5  180.9  1   19.803   19.803  1   36.291   36.291  1
  190.5  190.9  1   19.244   19.244  1   36.179   36.179  1
  200.0  200.4  1   18.920   18.920  1   36.117   36.117  1
  209.9  210.3  1   18.398   18.398  1   36.028   36.028  1
  219.9  220.3  1   18.007   18.007  1   35.946   35.946  1
  230.5  230.9  1   17.369   17.369  1   35.835   35.835  1
  240.0  240.4  1   16.823   16.823  1   35.735   35.735  1
  250.4  250.8  1   16.335   16.335  1   35.650   35.650  1
  260.1  260.5  1   15.866   15.866  1   35.571   35.571  1
  270.1  270.5  1   15.588   15.588  1   35.524   35.524  1
  280.1  280.5  1   15.330   15.330  1   35.482   35.482  1
  289.9  290.3  1   15.071   15.071  1   35.442   35.442  1
  300.4  300.8  1   14.705   14.705  1   35.387   35.387  1
  310.2  310.6  1   14.417   14.417  1   35.349   35.349  1
  319.8  320.2  1   14.259   14.259  1   35.326   35.326  1
  329.9  330.3  1   14.038   14.038  1   35.296   35.296  1
  340.1  340.5  1   13.711   13.711  1   35.257   35.257  1
  350.2  350.6  1   13.542   13.542  1   35.241   35.241  1
  359.7  360.1  1   13.458   13.458  1   35.229   35.229  1
  379.9  380.3  1   13.167   13.167  1   35.197   35.197  1
  400.3  400.7  1   12.748   12.748  1   35.148   35.148  1
  450.1  450.5  1   11.619   11.619  1   35.008   35.008  1
  499.9  500.3  1   10.469   10.469  1   34.872   34.872  1
  549.7  550.1  1    9.235    9.235  1   34.738   34.738  1
  599.5  599.9  1    8.641    8.641  1   34.680   34.680  1
  649.8  650.2  1    7.676    7.676  1   34.588   34.588  1
  700.0  700.4  1    6.491    6.491  1   34.472   34.472  1
  749.8  750.2  1    5.777    5.777  1   34.421   34.421  1
  800.4  800.8  1    5.274    5.274  1   34.391   34.391  1
  850.5  850.9  1    4.797    4.797  1   34.382   34.382  1
  900.2  900.6  1    4.459    4.459  1   34.396   34.396  1
  950.1  950.5  1    4.209    4.209  1   34.415   34.415  1
  999.7 1000.1  1    3.973    3.973  1   34.442   34.442  1
 1050.1 1050.5  1    3.763    3.763  1   34.468   34.468  1
 1100.5 1100.9  1    3.540    3.540  1   34.495   34.495  1
 1149.9 1150.3  1    3.405    3.405  1   34.528   34.528  1
