*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6902684
     CYCLE NUMBER          :115
     DATE CREATION         :20191231081747
     DATE UPDATE           :20191231081755
     PROJECT NAME          :RREX ASFAR
     PI NAME               :Virginie THIERRY
     INSTRUMENT TYPE       :ARVOR
     FLOAT SERIAL NO       :OIN-15-AR-31
     FIRMWARE VERSION      :5611A01
     WMO INSTRUMENT TYPE   :844
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25565.0417 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-30
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :60.286  
     LONGITUDE             :-56.082 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    4.0    4.0  1    4.476    4.476  1   34.748   34.748  1
    6.0    6.0  1    4.476    4.476  1   34.748   34.748  1
    8.0    8.0  1    4.477    4.477  1   34.748   34.748  1
   10.0   10.0  1    4.478    4.478  1   34.748   34.748  1
   26.0   26.0  1    4.478    4.478  1   34.747   34.747  1
   45.0   45.0  1    4.476    4.476  1   34.748   34.748  1
   65.0   65.0  1    4.477    4.477  1   34.748   34.748  1
   85.0   85.0  1    4.476    4.476  1   34.749   34.749  1
  105.0  105.0  1    4.486    4.486  1   34.753   34.753  1
  126.0  126.0  1    4.445    4.445  1   34.750   34.750  1
  146.0  146.0  1    4.429    4.429  1   34.749   34.749  1
  165.0  165.0  1    4.646    4.646  1   34.787   34.787  1
  185.0  185.0  1    5.107    5.107  1   34.883   34.883  1
  206.0  206.0  1    5.013    5.013  1   34.886   34.886  1
  226.0  226.0  1    4.785    4.785  1   34.878   34.878  1
  246.0  246.0  1    4.620    4.620  1   34.876   34.876  1
  266.0  266.0  1    4.609    4.609  1   34.885   34.885  1
  395.0  395.0  1    4.119    4.119  1   34.876   34.876  1
  416.0  416.0  1    4.078    4.078  1   34.876   34.876  1
  426.0  426.0  1    4.039    4.039  1   34.874   34.874  1
  436.0  436.0  1    3.982    3.982  1   34.870   34.870  1
  446.0  446.0  1    3.946    3.946  1   34.869   34.869  1
  455.0  455.0  1    3.947    3.947  1   34.870   34.870  1
  465.0  465.0  1    3.875    3.875  1   34.864   34.864  1
  475.0  475.0  1    3.763    3.763  1   34.852   34.852  1
  486.0  486.0  1    3.716    3.716  1   34.848   34.848  1
  496.0  496.0  1    3.696    3.696  1   34.848   34.848  1
  513.0  513.0  1    3.668    3.668  1   34.848   34.848  1
  538.0  538.0  1    3.657    3.657  1   34.851   34.851  1
  563.0  563.0  1    3.608    3.608  1   34.849   34.849  1
  588.0  588.0  1    3.580    3.580  1   34.848   34.848  1
  613.0  613.0  1    3.565    3.565  1   34.848   34.848  1
  638.0  638.0  1    3.529    3.529  1   34.846   34.846  1
  663.0  663.0  1    3.508    3.508  1   34.847   34.847  1
  689.0  689.0  1    3.477    3.477  1   34.847   34.847  1
  713.0  713.0  1    3.461    3.461  1   34.849   34.849  1
  738.0  738.0  1    3.445    3.445  1   34.850   34.850  1
  763.0  763.0  1    3.449    3.449  1   34.853   34.853  1
  788.0  788.0  1    3.471    3.471  1   34.859   34.859  1
  813.0  813.0  1    3.443    3.443  1   34.857   34.857  1
  838.0  838.0  1    3.421    3.421  1   34.855   34.855  1
  863.0  863.0  1    3.421    3.421  1   34.858   34.858  1
  888.0  888.0  1    3.404    3.404  1   34.858   34.858  1
  913.0  913.0  1    3.395    3.395  1   34.859   34.859  1
  938.0  938.0  1    3.382    3.382  1   34.858   34.858  1
  963.0  963.0  1    3.371    3.371  1   34.857   34.857  1
  988.0  988.0  1    3.347    3.347  1   34.855   34.855  1
 1038.0 1038.0  1    3.341    3.341  1   34.856   34.856  1
 1088.0 1088.0  1    3.336    3.336  1   34.857   34.857  1
 1138.0 1138.0  1    3.334    3.334  1   34.858   34.858  1
 1189.0 1189.0  1    3.324    3.324  1   34.857   34.857  1
 1238.0 1238.0  1    3.313    3.313  1   34.856   34.856  1
 1288.0 1288.0  1    3.313    3.313  1   34.857   34.857  1
 1338.0 1338.0  1    3.300    3.300  1   34.855   34.855  1
 1388.0 1388.0  1    3.329    3.329  1   34.861   34.861  1
 1438.0 1438.0  1    3.330    3.330  1   34.863   34.863  1
 1488.0 1488.0  1    3.341    3.341  1   34.866   34.866  1
 1538.0 1538.0  1    3.340    3.340  1   34.867   34.867  1
 1588.0 1588.0  1    3.328    3.328  1   34.866   34.866  1
 1638.0 1638.0  1    3.327    3.327  1   34.867   34.867  1
 1688.0 1688.0  1    3.358    3.358  1   34.874   34.874  1
 1738.0 1738.0  1    3.395    3.395  1   34.883   34.883  1
 1787.0 1787.0  1    3.425    3.425  1   34.890   34.890  1
 1838.0 1838.0  1    3.449    3.449  1   34.898   34.898  1
 1888.0 1888.0  1    3.462    3.462  1   34.905   34.905  1
 1937.0 1937.0  1    3.455    3.455  1   34.911   34.911  1
 1988.0 1988.0  1    3.430    3.430  1   34.915   34.915  1
