*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6902840
     CYCLE NUMBER          :006
     DATE CREATION         :20191222001526
     DATE UPDATE           :20191222001530
     PROJECT NAME          :CORIOLIS
     PI NAME               :Christine COATANOAN
     INSTRUMENT TYPE       :ARVOR
     FLOAT SERIAL NO       :AL2500-17FR011
     FIRMWARE VERSION      :5605B04
     WMO INSTRUMENT TYPE   :844
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :R(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25555.6979 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-20
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :46.385  
     LONGITUDE             :-8.295  
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    3.0    3.0  1   12.785   12.785  1   35.557   35.557  1
    4.0    4.0  1   12.785   12.785  1   35.559   35.559  1
    5.0    5.0  1   12.786   12.786  1   35.558   35.558  1
    6.0    6.0  1   12.787   12.787  1   35.557   35.557  1
    7.0    7.0  1   12.787   12.787  1   35.558   35.558  1
    8.0    8.0  1   12.792   12.792  1   35.558   35.558  1
    9.0    9.0  1   12.792   12.792  1   35.558   35.558  1
   10.0   10.0  1   12.793   12.793  1   35.559   35.559  1
   15.0   15.0  1   12.795   12.795  1   35.557   35.557  1
   25.0   25.0  1   12.804   12.804  1   35.559   35.559  1
   35.0   35.0  1   12.809   12.809  1   35.558   35.558  1
   45.0   45.0  1   12.813   12.813  1   35.558   35.558  1
   55.0   55.0  1   12.814   12.814  1   35.558   35.558  1
   65.0   65.0  1   12.816   12.816  1   35.558   35.558  1
   75.0   75.0  1   12.817   12.817  1   35.559   35.559  1
   86.0   86.0  1   12.819   12.819  1   35.558   35.558  1
   95.0   95.0  1   12.819   12.819  1   35.558   35.558  1
  106.0  106.0  1   12.800   12.800  1   35.557   35.557  1
  116.0  116.0  1   12.790   12.790  1   35.558   35.558  1
  125.0  125.0  1   12.784   12.784  1   35.558   35.558  1
  135.0  135.0  1   12.775   12.775  1   35.558   35.558  1
  145.0  145.0  1   12.723   12.723  1   35.560   35.560  1
  155.0  155.0  1   12.633   12.633  1   35.562   35.562  1
  165.0  165.0  1   12.470   12.470  1   35.562   35.562  1
  175.0  175.0  1   12.170   12.170  1   35.562   35.562  1
  186.0  186.0  1   11.949   11.949  1   35.558   35.558  1
  196.0  196.0  1   11.838   11.838  1   35.552   35.552  1
  213.0  213.0  1   11.745   11.745  1   35.545   35.545  1
  264.0  264.0  1   11.582   11.582  1   35.533   35.533  1
  313.0  313.0  1   11.414   11.414  1   35.515   35.515  1
  363.0  363.0  1   11.336   11.336  1   35.518   35.518  1
  412.0  412.0  1   11.216   11.216  1   35.508   35.508  1
  463.0  463.0  1   11.079   11.079  1   35.499   35.499  1
  513.0  513.0  1   10.945   10.945  1   35.508   35.508  1
  563.0  563.0  1   10.742   10.742  1   35.526   35.526  1
  588.0  588.0  1   10.607   10.607  1   35.517   35.517  1
  613.0  613.0  1   10.502   10.502  1   35.522   35.522  1
  639.0  639.0  1   10.422   10.422  1   35.541   35.541  1
  663.0  663.0  1   10.349   10.349  1   35.560   35.560  1
  688.0  688.0  1   10.246   10.246  1   35.569   35.569  1
  713.0  713.0  1   10.170   10.170  1   35.582   35.582  1
  738.0  738.0  1   10.125   10.125  1   35.608   35.608  1
  763.0  763.0  1   10.114   10.114  1   35.633   35.633  1
  789.0  789.0  1   10.040   10.040  1   35.646   35.646  1
  813.0  813.0  1    9.989    9.989  1   35.656   35.656  1
  838.0  838.0  1    9.906    9.906  1   35.663   35.663  1
  863.0  863.0  1    9.788    9.788  1   35.660   35.660  1
  888.0  888.0  1    9.718    9.718  1   35.670   35.670  1
  913.0  913.0  1    9.833    9.833  1   35.714   35.714  1
  938.0  938.0  1   10.051   10.051  1   35.797   35.797  1
  963.0  963.0  1    9.997    9.997  1   35.805   35.805  1
  988.0  988.0  1    9.981    9.981  1   35.817   35.817  1
 1013.0 1013.0  1    9.793    9.793  1   35.792   35.792  1
 1038.0 1038.0  1    9.361    9.361  1   35.716   35.716  1
 1063.0 1063.0  1    9.052    9.052  1   35.665   35.665  1
 1088.0 1088.0  1    9.178    9.178  1   35.716   35.716  1
 1113.0 1113.0  1    9.038    9.038  1   35.700   35.700  1
 1138.0 1138.0  1    8.515    8.515  1   35.601   35.601  1
 1163.0 1163.0  1    8.271    8.271  1   35.564   35.564  1
 1188.0 1188.0  1    8.197    8.197  1   35.566   35.566  1
 1213.0 1213.0  1    7.765    7.765  1   35.492   35.492  1
 1238.0 1238.0  1    7.321    7.321  1   35.415   35.415  1
 1263.0 1263.0  1    7.012    7.012  1   35.371   35.371  1
 1288.0 1288.0  1    6.957    6.957  1   35.378   35.378  1
 1313.0 1313.0  1    6.776    6.776  1   35.358   35.358  1
 1338.0 1338.0  1    6.166    6.166  1   35.244   35.244  1
 1363.0 1363.0  1    6.193    6.193  1   35.262   35.262  1
 1387.0 1387.0  1    6.013    6.013  1   35.238   35.238  1
 1413.0 1413.0  1    5.864    5.864  1   35.220   35.220  1
 1438.0 1438.0  1    5.515    5.515  1   35.162   35.162  1
 1463.0 1463.0  1    5.510    5.510  1   35.167   35.167  1
 1488.0 1488.0  1    5.542    5.542  1   35.184   35.184  1
 1512.0 1512.0  1    5.451    5.451  1   35.174   35.174  1
 1537.0 1537.0  1    5.470    5.470  1   35.185   35.185  1
 1563.0 1563.0  1    5.377    5.377  1   35.174   35.174  1
 1589.0 1589.0  1    5.240    5.240  1   35.153   35.153  1
 1613.0 1613.0  1    5.165    5.165  1   35.146   35.146  1
 1638.0 1638.0  1    5.058    5.058  1   35.133   35.133  1
 1663.0 1663.0  1    4.969    4.969  1   35.121   35.121  1
 1688.0 1688.0  1    4.889    4.889  1   35.112   35.112  1
 1713.0 1713.0  1    4.783    4.783  1   35.099   35.099  1
 1738.0 1738.0  1    4.695    4.695  1   35.089   35.089  1
 1763.0 1763.0  1    4.626    4.626  1   35.081   35.081  1
 1788.0 1788.0  1    4.535    4.535  1   35.070   35.070  1
 1814.0 1814.0  1    4.457    4.457  1   35.063   35.063  1
 1838.0 1838.0  1    4.320    4.320  1   35.042   35.042  1
 1863.0 1863.0  1    4.240    4.240  1   35.034   35.034  1
 1888.0 1888.0  1    4.154    4.154  1   35.023   35.023  1
 1913.0 1913.0  1    4.048    4.048  1   35.010   35.010  1
 1938.0 1938.0  1    3.951    3.951  1   34.998   34.998  1
 1963.0 1963.0  1    3.894    3.894  1   34.992   34.992  1
 1989.0 1989.0  1    3.820    3.820  1   34.985   34.985  1
 2003.0 2003.0  1    3.792    3.792  1   34.985   34.985  1
