*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :7900501
     CYCLE NUMBER          :109
     DATE CREATION         :20191208211645
     DATE UPDATE           :20191210021638
     PROJECT NAME          :ARGO-BSH
     PI NAME               :Birgit Klein
     INSTRUMENT TYPE       :APEX
     FLOAT SERIAL NO       :7947
     FIRMWARE VERSION      :102015
     WMO INSTRUMENT TYPE   :846
     TRANSMISSION SYSTEM   :ARGOS
     POSITIONING SYSTEM    :ARGOS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :A(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25543.6917 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-08
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :-34.887 
     LONGITUDE             :-23.183 
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
    5.4    5.3  1   17.677   17.677  1   35.678   35.678  1
    9.0    8.9  1   17.670   17.670  1   35.676   35.676  1
   19.9   19.8  1   17.557   17.557  1   35.673   35.673  1
   29.9   29.8  1   17.487   17.487  1   35.673   35.673  1
   40.7   40.6  1   17.306   17.306  1   35.659   35.659  1
   50.2   50.1  1   16.745   16.745  1   35.684   35.684  1
   60.1   60.0  1   16.170   16.170  1   35.640   35.640  1
   70.1   70.0  1   15.928   15.928  1   35.607   35.607  1
   80.4   80.3  1   15.708   15.708  1   35.587   35.587  1
   90.1   90.0  1   15.600   15.600  1   35.572   35.572  1
  100.1  100.0  1   15.341   15.341  1   35.545   35.545  1
  109.5  109.4  1   15.221   15.221  1   35.534   35.534  1
  120.4  120.3  1   15.085   15.085  1   35.520   35.520  1
  130.4  130.3  1   15.037   15.037  1   35.516   35.516  1
  139.5  139.4  1   15.049   15.049  1   35.546   35.546  1
  149.8  149.7  1   14.904   14.904  1   35.520   35.520  1
  158.9  158.8  1   14.765   14.765  1   35.493   35.493  1
  170.4  170.3  1   14.624   14.624  1   35.481   35.481  1
  180.1  180.0  1   14.431   14.431  1   35.446   35.446  1
  190.5  190.4  1   14.482   14.482  1   35.478   35.478  1
  200.0  199.9  1   14.401   14.401  1   35.468   35.468  1
  225.0  224.9  1   14.178   14.178  1   35.439   35.439  1
  250.2  250.1  1   13.737   13.737  1   35.357   35.357  1
  275.3  275.2  1   13.531   13.531  1   35.340   35.340  1
  300.3  300.2  1   13.240   13.240  1   35.295   35.295  1
  324.8  324.7  1   12.840   12.840  1   35.225   35.225  1
  350.3  350.2  1   12.317   12.317  1   35.139   35.139  1
  374.8  374.7  1   11.901   11.901  1   35.070   35.070  1
  399.5  399.4  1   11.446   11.446  1   35.001   35.001  1
  424.6  424.5  1   11.028   11.028  1   34.950   34.950  1
  449.8  449.7  1   10.726   10.726  1   34.901   34.901  1
  475.4  475.3  1   10.250   10.250  1   34.838   34.838  1
  500.1  500.0  1    9.752    9.752  1   34.774   34.774  1
  525.3  525.2  1    9.191    9.191  1   34.703   34.703  1
  550.2  550.1  1    8.650    8.650  1   34.646   34.646  1
  574.5  574.4  1    8.337    8.337  1   34.612   34.612  1
  599.6  599.5  1    8.064    8.064  1   34.586   34.586  1
  625.1  625.0  1    7.572    7.572  1   34.531   34.531  1
  649.8  649.7  1    7.274    7.274  1   34.499   34.499  1
  675.2  675.1  1    6.956    6.956  1   34.465   34.465  1
  700.4  700.3  1    6.537    6.537  1   34.429   34.429  1
  725.4  725.3  1    6.093    6.093  1   34.390   34.390  1
  750.6  750.5  1    5.771    5.771  1   34.364   34.364  1
  775.1  775.0  1    5.546    5.546  1   34.345   34.345  1
  800.4  800.3  1    5.156    5.156  1   34.313   34.313  1
  824.6  824.5  1    4.925    4.925  1   34.304   34.304  1
  849.6  849.5  1    4.770    4.770  1   34.303   34.303  1
  875.1  875.0  1    4.674    4.674  1   34.302   34.302  1
  900.5  900.4  1    4.556    4.556  1   34.302   34.302  1
  925.3  925.2  1    4.415    4.415  1   34.303   34.303  1
  950.6  950.5  1    4.305    4.305  1   34.305   34.305  1
  974.7  974.6  1    4.182    4.182  1   34.312   34.312  1
 1000.5 1000.4  1    4.060    4.060  1   34.318   34.318  1
 1024.8 1024.7  1    3.959    3.959  1   34.325   34.325  1
 1049.4 1049.3  1    3.897    3.897  1   34.329   34.329  1
 1075.6 1075.5  1    3.799    3.799  1   34.341   34.341  1
 1100.2 1100.1  1    3.740    3.740  1   34.347   34.347  1
 1125.1 1125.0  1    3.652    3.652  1   34.358   34.358  1
 1150.4 1150.3  1    3.568    3.568  1   34.370   34.370  1
 1175.3 1175.2  1    3.517    3.517  1   34.380   34.380  1
 1200.4 1200.3  1    3.449    3.449  1   34.392   34.392  1
 1224.4 1224.3  1    3.383    3.383  1   34.402   34.402  1
 1250.4 1250.3  1    3.332    3.332  1   34.412   34.412  1
 1275.6 1275.5  1    3.210    3.210  1   34.421   34.421  1
 1299.8 1299.7  1    3.208    3.208  1   34.436   34.436  1
 1325.3 1325.2  1    3.148    3.148  1   34.455   34.455  1
 1349.7 1349.6  1    3.089    3.089  1   34.459   34.459  1
 1375.3 1375.2  1    3.057    3.057  1   34.486   34.486  1
 1400.6 1400.5  1    3.028    3.028  1   34.496   34.496  1
 1425.3 1425.2  1    2.984    2.984  1   34.509   34.509  1
 1450.7 1450.6  1    2.936    2.936  1   34.519   34.519  1
 1475.2 1475.1  1    2.909    2.909  1   34.540   34.540  1
 1499.7 1499.6  1    2.912    2.912  1   34.554   34.554  1
 1525.0 1524.9  1    2.921    2.921  1   34.567   34.567  1
 1549.5 1549.4  1    2.920    2.920  1   34.584   34.584  1
 1574.5 1574.4  1    2.903    2.903  1   34.606   34.606  1
 1600.2 1600.1  1    2.879    2.879  1   34.615   34.615  1
 1625.6 1625.5  1    2.879    2.879  1   34.628   34.628  1
 1650.0 1649.9  1    2.866    2.866  1   34.641   34.641  1
 1675.0 1674.9  1    2.864    2.864  1   34.654   34.654  1
 1700.2 1700.1  1    2.865    2.865  1   34.666   34.666  1
 1725.3 1725.2  1    2.866    2.866  1   34.680   34.680  1
 1750.6 1750.5  1    2.860    2.860  1   34.690   34.690  1
 1775.4 1775.3  1    2.859    2.859  1   34.701   34.701  1
 1799.8 1799.7  1    2.858    2.858  1   34.712   34.712  1
 1825.0 1824.9  1    2.859    2.859  1   34.722   34.722  1
 1850.2 1850.1  1    2.859    2.859  1   34.731   34.731  1
 1875.0 1874.9  1    2.859    2.859  1   34.736   34.736  1
 1899.6 1899.5  1    2.860    2.860  1   34.746   34.746  1
 1925.0 1924.9  1    2.862    2.862  1   34.751   34.751  1
 1949.7 1949.6  1    2.868    2.868  1   34.758   34.758  1
 1975.0 1974.9  1    2.888    2.888  1   34.770   34.770  1
 2000.3 2000.2  1    2.885    2.885  1   34.777   34.777  1
